provincia;localidad;id_localidad;id_provincia
Buenos Aires-GBA;Villa Martelli;272;2
Buenos Aires-GBA;Villa Obrera;273;2
Buenos Aires-GBA;Villa Progreso;274;2
Buenos Aires-GBA;Villa Raffo;275;2
Buenos Aires-GBA;Villa Sarmiento;276;2
Buenos Aires-GBA;Villa Tesei;277;2
Buenos Aires-GBA;Villa Udaondo;278;2
Buenos Aires-GBA;Virrey del Pino;279;2
Buenos Aires-GBA;Wilde;280;2
Buenos Aires-GBA;William Morris;281;2
